Hg,Hi,Hm,Hp,He,Ib-FDTD,Ir-FDTD,It-FDTD,Ib-CPN,Ir-CPN,It-CPN
60,50,230,35,30,17.402,6.5334,17.5186,17.2168,6.4197,17.1784
100,40,190,30,35,17.7505,6.6155,15.7214,17.7928,6.5758,16.0708
60,40,250,35,15,17.7499,5.6218,17.0813,17.7989,5.63,17.231
10,60,160,20,20,18.1963,8.6183,15.8316,18.1209,8.6882,15.5819
80,20,160,35,15,19.3659,6.4718,15.6969,19.0734,6.4522,15.4893
100,60,250,35,35,16.3691,6.7848,16.5936,16.5871,7.0122,16.7518
30,60,160,15,35,17.64,8.6259,16.633,17.6702,8.4537,16.3021
10,20,210,20,30,16.9268,8.0536,18.231,16.8511,7.7327,18.0001
50,30,170,20,15,18.8596,6.5345,16.2087,18.7008,6.6122,16.5543
90,40,250,25,20,17.6591,5.6757,17.7809,17.6683,5.4348,17.9711
30,40,250,35,30,16.5268,6.8118,18.2412,16.4951,6.72,18.0463
40,20,170,35,15,18.7151,6.6577,14.6097,18.6435,6.7779,14.8565
50,40,250,20,20,17.3813,5.6574,18.4757,17.3229,5.5695,18.6634
40,60,250,35,25,17.1719,7.0381,17.9239,17.212,6.9718,17.6885
10,20,180,20,20,17.735,8.504,16.6799,17.6439,8.1787,16.4164
30,30,160,25,25,18.1538,7.9095,15.4566,18.0585,7.7575,15.8002
10,50,160,25,25,18.0038,8.4913,15.0815,17.7762,8.5626,15.381
50,40,160,35,25,18.5317,7.3363,14.6159,18.3961,7.3157,14.781
10,40,250,20,15,16.9081,6.4847,18.6112,17.0524,6.3784,18.8858
30,60,250,25,30,16.7134,6.9312,18.8568,16.5891,7.0693,18.8377
40,40,250,25,30,16.628,6.231,19.632,16.5694,6.4131,19.3075
30,30,250,25,30,16.3349,6.4159,19.7699,16.4295,6.5149,19.4302
90,30,250,25,15,17.8721,5.332,18.3277,17.9437,5.2988,18.6759
70,30,160,25,25,18.8869,6.7468,15.8915,18.7215,6.6403,16.1534
60,50,250,35,30,16.8982,6.5767,18.0722,16.8943,6.4227,17.79
90,30,170,25,15,19.2784,6.0382,15.8223,19.1521,5.9926,16.0484
90,40,170,30,15,19.0565,6.2808,15.2918,18.9215,6.2789,15.4901
80,60,160,35,20,18.47,7.5697,14.9324,18.4259,7.2898,14.665
