Hg,Hi,Hm,Hp,He,Ib,Ir,It,|Ka|
70 ,20 ,240 ,15 ,15 ,17.9072 ,5.2596 ,20.8375 ,2.9302 
80 ,20 ,240 ,15 ,15 ,18.0392 ,5.2545 ,20.7209 ,2.6817 
90 ,20 ,240 ,15 ,15 ,18.1340 ,5.3706 ,20.5282 ,2.3942 
10 ,20 ,250 ,15 ,20 ,16.4074 ,7.7656 ,18.1455 ,1.7382 
100 ,20 ,250 ,15 ,20 ,17.6621 ,5.6711 ,18.8915 ,1.2294 
20 ,20 ,250 ,15 ,20 ,16.5773 ,7.1176 ,18.5417 ,1.9644 
30 ,20 ,250 ,15 ,20 ,16.7174 ,6.6426 ,18.8233 ,2.1060 
40 ,20 ,250 ,15 ,20 ,16.9106 ,6.0964 ,19.1205 ,2.2099 
50 ,20 ,250 ,15 ,20 ,17.0689 ,5.7522 ,19.2838 ,2.2149 
60 ,20 ,250 ,15 ,20 ,17.2496 ,5.4470 ,19.3949 ,2.1453 
70 ,20 ,250 ,15 ,20 ,17.3891 ,5.3512 ,19.3698 ,1.9807 
80 ,20 ,250 ,15 ,20 ,17.5209 ,5.3231 ,19.2900 ,1.7691 
90 ,20 ,250 ,15 ,20 ,17.6069 ,5.4882 ,19.0900 ,1.4831 
10 ,20 ,160 ,15 ,20 ,17.3479 ,9.8094 ,16.6919 ,0.6560 
100 ,20 ,160 ,15 ,20 ,19.4040 ,7.1284 ,17.2462 ,2.1578 
20 ,20 ,160 ,15 ,20 ,17.6642 ,9.2801 ,16.8624 ,0.8017 
30 ,20 ,160 ,15 ,20 ,18.0318 ,8.6208 ,17.1078 ,0.9240 
40 ,20 ,160 ,15 ,20 ,18.3464 ,8.1425 ,17.2428 ,1.1036 
50 ,20 ,160 ,15 ,20 ,18.6627 ,7.6432 ,17.4043 ,1.2583 
60 ,20 ,160 ,15 ,20 ,18.9179 ,7.3377 ,17.4513 ,1.4666 
70 ,20 ,160 ,15 ,20 ,19.1333 ,7.0734 ,17.5033 ,1.6300 
80 ,20 ,160 ,15 ,20 ,19.2850 ,7.0016 ,17.4429 ,1.8421 
90 ,20 ,160 ,15 ,20 ,19.3755 ,6.9768 ,17.3954 ,1.9801 
10 ,20 ,170 ,15 ,20 ,17.4057 ,9.4068 ,15.2240 ,2.1817 
100 ,20 ,170 ,15 ,20 ,19.3223 ,6.3409 ,16.2285 ,3.0938 
20 ,20 ,170 ,15 ,20 ,17.7280 ,8.6803 ,15.5372 ,2.1907 
30 ,20 ,170 ,15 ,20 ,18.0061 ,8.1220 ,15.7571 ,2.2490 
40 ,20 ,170 ,15 ,20 ,18.3208 ,7.4761 ,16.0267 ,2.2940 
50 ,20 ,170 ,15 ,20 ,18.5825 ,7.0264 ,16.1872 ,2.3952 
60 ,20 ,170 ,15 ,20 ,18.8374 ,6.6018 ,16.3394 ,2.4980 
70 ,20 ,170 ,15 ,20 ,19.0336 ,6.3824 ,16.3784 ,2.6553 
80 ,20 ,170 ,15 ,20 ,19.1896 ,6.2274 ,16.3958 ,2.7938 
90 ,20 ,170 ,15 ,20 ,19.2845 ,6.2669 ,16.3083 ,2.9762 
10 ,20 ,180 ,15 ,20 ,17.5396 ,8.9547 ,17.3477 ,0.1919 
100 ,20 ,180 ,15 ,20 ,19.2367 ,6.3661 ,18.1789 ,1.0578 
20 ,20 ,180 ,15 ,20 ,17.7912 ,8.4272 ,17.5820 ,0.2093 
30 ,20 ,180 ,15 ,20 ,18.0942 ,7.7664 ,17.8948 ,0.1993 
40 ,20 ,180 ,15 ,20 ,18.3493 ,7.2889 ,18.0896 ,0.2597 
50 ,20 ,180 ,15 ,20 ,18.6158 ,6.7920 ,18.2996 ,0.3162 
60 ,20 ,180 ,15 ,20 ,18.8273 ,6.4927 ,18.3848 ,0.4426 
70 ,20 ,180 ,15 ,20 ,19.0139 ,6.2403 ,18.4553 ,0.5586 
80 ,20 ,180 ,15 ,20 ,19.1407 ,6.1853 ,18.4037 ,0.7369 
90 ,20 ,180 ,15 ,20 ,19.2188 ,6.1848 ,18.3458 ,0.8730 
10 ,20 ,190 ,15 ,20 ,17.4279 ,8.8223 ,15.8567 ,1.5712 
100 ,20 ,190 ,15 ,20 ,19.0895 ,5.8748 ,17.0051 ,2.0844 
20 ,20 ,190 ,15 ,20 ,17.6891 ,8.0997 ,16.2282 ,1.4608 
30 ,20 ,190 ,15 ,20 ,17.9130 ,7.5444 ,16.5004 ,1.4126 
40 ,20 ,190 ,15 ,20 ,18.1820 ,6.9009 ,16.8126 ,1.3694 
50 ,20 ,190 ,15 ,20 ,18.4055 ,6.4549 ,17.0077 ,1.3978 
60 ,20 ,190 ,15 ,20 ,18.6353 ,6.0392 ,17.1756 ,1.4597 
70 ,20 ,190 ,15 ,20 ,18.8113 ,5.8325 ,17.2218 ,1.5895 
80 ,20 ,190 ,15 ,20 ,18.9595 ,5.6999 ,17.2263 ,1.7332 
90 ,20 ,190 ,15 ,20 ,19.0482 ,5.7662 ,17.1190 ,1.9291 
10 ,20 ,200 ,15 ,20 ,17.4569 ,8.4193 ,17.9872 ,0.5304 
100 ,20 ,200 ,15 ,20 ,18.9864 ,5.9735 ,18.8375 ,0.1489 
20 ,20 ,200 ,15 ,20 ,17.6599 ,7.8934 ,18.2705 ,0.6106 
30 ,20 ,200 ,15 ,20 ,17.9229 ,7.2330 ,18.6229 ,0.7000 
40 ,20 ,200 ,15 ,20 ,18.1445 ,6.7568 ,18.8498 ,0.7052 
50 ,20 ,200 ,15 ,20 ,18.3884 ,6.2667 ,19.0731 ,0.6848 
60 ,20 ,200 ,15 ,20 ,18.5826 ,5.9782 ,19.1633 ,0.5806 
70 ,20 ,200 ,15 ,20 ,18.7616 ,5.7474 ,19.2177 ,0.4561 
80 ,20 ,200 ,15 ,20 ,18.8834 ,5.7189 ,19.1432 ,0.2598 
90 ,20 ,200 ,15 ,20 ,18.9640 ,5.7541 ,19.0468 ,0.0828 
10 ,20 ,210 ,15 ,20 ,17.1986 ,8.4216 ,16.5721 ,0.6265 
100 ,20 ,210 ,15 ,20 ,18.7393 ,5.6795 ,17.6411 ,1.0982 
20 ,20 ,210 ,15 ,20 ,17.4296 ,7.7014 ,16.9743 ,0.4553 
30 ,20 ,210 ,15 ,20 ,17.6268 ,7.1495 ,17.2712 ,0.3556 
40 ,20 ,210 ,15 ,20 ,17.8750 ,6.5163 ,17.5943 ,0.2807 
50 ,20 ,210 ,15 ,20 ,18.0804 ,6.0842 ,17.7931 ,0.2872 
60 ,20 ,210 ,15 ,20 ,18.2978 ,5.6936 ,17.9477 ,0.3501 
70 ,20 ,210 ,15 ,20 ,18.4632 ,5.5164 ,17.9739 ,0.4893 
80 ,20 ,210 ,15 ,20 ,18.6063 ,5.4225 ,17.9445 ,0.6619 
90 ,20 ,210 ,15 ,20 ,18.6940 ,5.5293 ,17.7988 ,0.8952 
10 ,20 ,220 ,15 ,20 ,17.1820 ,8.0588 ,18.7060 ,1.5240 
100 ,20 ,220 ,15 ,20 ,18.6075 ,5.8717 ,19.3997 ,0.7922 
20 ,20 ,220 ,15 ,20 ,17.3622 ,7.5384 ,19.0087 ,1.6464 
30 ,20 ,220 ,15 ,20 ,17.6048 ,6.8916 ,19.3689 ,1.7641 
40 ,20 ,220 ,15 ,20 ,17.8077 ,6.4326 ,19.5974 ,1.7898 
50 ,20 ,220 ,15 ,20 ,18.0361 ,5.9707 ,19.8080 ,1.7718 
60 ,20 ,220 ,15 ,20 ,18.2158 ,5.7140 ,19.8791 ,1.6634 
70 ,20 ,220 ,15 ,20 ,18.3850 ,5.5235 ,19.9018 ,1.5168 
80 ,20 ,220 ,15 ,20 ,18.5006 ,5.5363 ,19.7909 ,1.2903 
90 ,20 ,220 ,15 ,20 ,18.5809 ,5.6135 ,19.6526 ,1.0717 
10 ,20 ,230 ,15 ,20 ,16.8670 ,8.0405 ,17.3635 ,0.4966 
100 ,20 ,230 ,15 ,20 ,18.2570 ,5.6395 ,18.2572 ,0.0002 
20 ,20 ,230 ,15 ,20 ,17.0728 ,7.3429 ,17.7705 ,0.6977 
30 ,20 ,230 ,15 ,20 ,17.2455 ,6.8180 ,18.0670 ,0.8215 
40 ,20 ,230 ,15 ,20 ,17.4674 ,6.2232 ,18.3803 ,0.9129 
50 ,20 ,230 ,15 ,20 ,17.6486 ,5.8325 ,18.5637 ,0.9150 
60 ,20 ,230 ,15 ,20 ,17.8448 ,5.4893 ,18.6940 ,0.8491 
70 ,20 ,230 ,15 ,20 ,17.9934 ,5.3593 ,18.6909 ,0.6975 
80 ,20 ,230 ,15 ,20 ,18.1267 ,5.3103 ,18.6283 ,0.5016 
90 ,20 ,230 ,15 ,20 ,18.2094 ,5.4584 ,18.4466 ,0.2372 
10 ,20 ,240 ,15 ,20 ,16.8178 ,7.7350 ,19.4972 ,2.6794 
100 ,20 ,240 ,15 ,20 ,18.0925 ,5.9082 ,19.9968 ,1.9042 
20 ,20 ,240 ,15 ,20 ,16.9700 ,7.2486 ,19.7958 ,2.8258 
30 ,20 ,240 ,15 ,20 ,17.1821 ,6.6467 ,20.1448 ,2.9627 
40 ,20 ,240 ,15 ,20 ,17.3568 ,6.2344 ,20.3573 ,3.0006 
50 ,20 ,240 ,15 ,20 ,17.5597 ,5.8230 ,20.5457 ,2.9859 
60 ,20 ,240 ,15 ,20 ,17.7187 ,5.6153 ,20.5904 ,2.8717 
70 ,20 ,240 ,15 ,20 ,17.8743 ,5.4691 ,20.5844 ,2.7100 
80 ,20 ,240 ,15 ,20 ,17.9820 ,5.5218 ,20.4421 ,2.4601 
